name,mdn_url,firefox_version_added,firefox_flags,chrome_version_added,chrome_flags,safari_version_added,safari_flags,status_experimental,status_standard_track,status_deprecated,spec_url,org
api/AudioDecoder/AudioDecoder,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#audiodecoder,W3C
api/AudioDecoder/close,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#dom-audiodecoder-close,W3C
api/AudioDecoder/configure,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#dom-audiodecoder-configure,W3C
api/AudioDecoder/decode,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#dom-audiodecoder-decode,W3C
api/AudioDecoder/decodeQueueSize,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#dom-audiodecoder-decodequeuesize,W3C
api/AudioDecoder/dequeue_event,,,,106,,,,true,true,false,https://w3c.github.io/webcodecs/#eventdef-audiodecoder-dequeue,W3C
api/AudioDecoder/flush,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#dom-audiodecoder-flush,W3C
api/AudioDecoder/isConfigSupported,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#dom-audiodecoder-isconfigsupported,W3C
api/AudioDecoder/reset,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#dom-audiodecoder-reset,W3C
api/AudioDecoder/state,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#dom-audiodecoder-state,W3C
api/AudioDestinationNode,,25,,14,,6,,false,true,false,https://webaudio.github.io/web-audio-api/#AudioDestinationNode,W3C
api/AudioDestinationNode/maxChannelCount,,25,,27,,14.1,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiodestinationnode-maxchannelcount,W3C
api/AudioEncoder,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#audioencoder-interface,W3C
api/AudioEncoder/AudioEncoder,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#dom-audioencoder-audioencoder,W3C
api/AudioEncoder/close,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#dom-audioencoder-close,W3C
api/AudioEncoder/configure,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#dom-audioencoder-configure,W3C
api/AudioEncoder/dequeue_event,,,,106,,,,true,true,false,https://w3c.github.io/webcodecs/#eventdef-audioencoder-dequeue,W3C
api/AudioEncoder/encode,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#dom-audioencoder-encode,W3C
api/AudioEncoder/encodeQueueSize,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#dom-audioencoder-encodequeuesize,W3C
api/AudioEncoder/flush,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#dom-audioencoder-flush,W3C
api/AudioEncoder/isConfigSupported,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#dom-audioencoder-isconfigsupported,W3C
api/AudioEncoder/reset,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#dom-audioencoder-reset,W3C
api/AudioEncoder/state,,,,94,,,,true,true,false,https://w3c.github.io/webcodecs/#dom-audioencoder-state,W3C
api/AudioListener,,25,,14,,6,,false,true,false,https://webaudio.github.io/web-audio-api/#AudioListener,W3C
api/AudioListener/forwardX,,,,52,,14.1,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiolistener-forwardx,W3C
api/AudioListener/forwardY,,,,52,,14.1,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiolistener-forwardy,W3C
api/AudioListener/forwardZ,,,,52,,14.1,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiolistener-forwardz,W3C
api/AudioListener/positionX,,,,52,,14.1,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiolistener-positionx,W3C
api/AudioListener/positionY,,,,52,,14.1,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiolistener-positiony,W3C
api/AudioListener/positionZ,,,,52,,14.1,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiolistener-positionz,W3C
api/AudioListener/setOrientation,,25,,14,,6,,false,true,true,https://webaudio.github.io/web-audio-api/#dom-audiolistener-setorientation,W3C
api/AudioListener/setPosition,,25,,14,,6,,false,true,true,https://webaudio.github.io/web-audio-api/#dom-audiolistener-setposition,W3C
api/AudioListener/upX,,,,52,,14.1,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiolistener-upx,W3C
api/AudioListener/upY,,,,52,,14.1,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiolistener-upy,W3C
